sample_id,event_id,date,latitude,longitude,elevation_m,slope_deg,rain_prev_24h_mm,rain_prev_72h_mm,rain_prev_7d_mm,label,sample_type,exclusion_distance_m,random_seed,terrain_source,terrain_resolution_m,rainfall_source,rainfall_native_resolution_m,crs
BG_242,,2024-05-28,23.45104367147083,92.52712726712507,717.06976,33.307774,119.11924743652344,259.05004119873047,289.30902099609375,0,background_no_recorded_event,500,42,Copernicus DEM GLO-30,30,CHIRPS Daily,5566,EPSG:4326
BG_243,,2024-05-28,24.08732038721269,92.47188087715172,50.072487,12.016705,172.09210205078125,300.0973129272461,300.0973129272461,0,background_no_recorded_event,500,42,Copernicus DEM GLO-30,30,CHIRPS Daily,5566,EPSG:4326
BG_244,,2024-05-28,23.46856081951116,92.98688502953743,821.06775,23.833748,120.54961395263672,192.81059646606445,233.39290237426758,0,background_no_recorded_event,500,42,Copernicus DEM GLO-30,30,CHIRPS Daily,5566,EPSG:4326
BG_245,,2024-05-28,23.53943789542819,92.85968358530612,643.36804,29.885641,140.8377227783203,230.71803665161133,267.78420639038086,0,background_no_recorded_event,500,42,Copernicus DEM GLO-30,30,CHIRPS Daily,5566,EPSG:4326
BG_246,,2024-05-28,23.576089159020267,92.78099116641725,453.12265,20.98888,115.6326904296875,219.0087776184082,249.3819351196289,0,background_no_recorded_event,500,42,Copernicus DEM GLO-30,30,CHIRPS Daily,5566,EPSG:4326
BG_247,,2024-05-28,23.762848906588715,92.46110109374229,481.47342,26.07391,152.3175048828125,304.86753845214844,304.86753845214844,0,background_no_recorded_event,500,42,Copernicus DEM GLO-30,30,CHIRPS Daily,5566,EPSG:4326
BG_248,,2024-05-28,23.808393491493575,92.93002167205267,1286.9294,35.43849,178.2377166748047,261.8654022216797,281.3995304107666,0,background_no_recorded_event,500,42,Copernicus DEM GLO-30,30,CHIRPS Daily,5566,EPSG:4326
BG_249,,2024-05-28,23.797613708084143,92.99847329670258,676.5312,34.088905,138.8038330078125,210.73931121826172,229.35657119750977,0,background_no_recorded_event,500,42,Copernicus DEM GLO-30,30,CHIRPS Daily,5566,EPSG:4326
BG_250,,2024-05-28,23.510601974807955,92.8144084949865,627.1461,26.585606,132.90013122558594,232.4102783203125,274.9632263183594,0,background_no_recorded_event,500,42,Copernicus DEM GLO-30,30,CHIRPS Daily,5566,EPSG:4326
BG_251,,2024-05-28,24.050938618205848,92.52685777253983,114.20653,29.27024,181.97244262695312,343.11642837524414,343.11642837524414,0,background_no_recorded_event,500,42,Copernicus DEM GLO-30,30,CHIRPS Daily,5566,EPSG:4326
BG_252,,2024-05-28,23.946913708304805,92.99577835085023,491.03656,13.795068,118.10382843017578,215.3574104309082,215.3574104309082,0,background_no_recorded_event,500,42,Copernicus DEM GLO-30,30,CHIRPS Daily,5566,EPSG:4326
BG_253,,2024-05-28,23.56153645141753,92.74218394614329,525.2191,17.470222,126.34567260742188,225.56153869628906,255.60668563842773,0,background_no_recorded_event,500,42,Copernicus DEM GLO-30,30,CHIRPS Daily,5566,EPSG:4326
BG_254,,2024-05-28,23.909453960957023,92.72709224937007,647.4332,33.59089,134.4709930419922,236.2372169494629,236.2372169494629,0,background_no_recorded_event,500,42,Copernicus DEM GLO-30,30,CHIRPS Daily,5566,EPSG:4326
BG_255,,2024-05-28,23.600074177106258,92.87477528207933,502.91544,27.387444,124.7547836303711,192.8963680267334,229.84925651550293,0,background_no_recorded_event,500,42,Copernicus DEM GLO-30,30,CHIRPS Daily,5566,EPSG:4326
BG_256,,2024-05-28,23.52704114450734,92.79958629279852,327.04053,25.701494,136.4126434326172,244.1869888305664,277.0615119934082,0,background_no_recorded_event,500,42,Copernicus DEM GLO-30,30,CHIRPS Daily,5566,EPSG:4326
BG_257,,2024-05-28,23.91214890680938,92.89525687055725,375.80695,38.362843,132.6033935546875,256.8159637451172,256.8159637451172,0,background_no_recorded_event,500,42,Copernicus DEM GLO-30,30,CHIRPS Daily,5566,EPSG:4326
BG_258,,2024-05-28,23.794918762231784,92.61794694234955,156.69476,4.953867,146.3689727783203,255.0957145690918,255.0957145690918,0,background_no_recorded_event,500,42,Copernicus DEM GLO-30,30,CHIRPS Daily,5566,EPSG:4326
BG_259,,2024-05-28,23.752069123179282,92.46595199627653,411.59335,28.047104,152.3175048828125,304.86753845214844,304.86753845214844,0,background_no_recorded_event,500,42,Copernicus DEM GLO-30,30,CHIRPS Daily,5566,EPSG:4326
BG_260,,2024-05-28,23.7679693037082,92.53359513717074,411.2878,39.613598,169.75555419921875,313.3686065673828,313.3686065673828,0,background_no_recorded_event,500,42,Copernicus DEM GLO-30,30,CHIRPS Daily,5566,EPSG:4326
BG_261,,2024-05-28,24.049052156109195,92.57159387368898,56.78622,13.048177,190.9457244873047,332.1803855895996,332.1803855895996,0,background_no_recorded_event,500,42,Copernicus DEM GLO-30,30,CHIRPS Daily,5566,EPSG:4326
BG_262,,2024-05-28,23.75233861776452,92.82869170800399,262.62653,25.307785,145.95169067382812,239.90277862548828,257.31964683532715,0,background_no_recorded_event,500,42,Copernicus DEM GLO-30,30,CHIRPS Daily,5566,EPSG:4326
BG_263,,2024-05-28,24.076271109218016,92.82976968634493,210.03815,13.988833,128.0061798095703,269.36503982543945,269.36503982543945,0,background_no_recorded_event,500,42,Copernicus DEM GLO-30,30,CHIRPS Daily,5566,EPSG:4326
BG_264,,2024-05-28,24.04878266152396,92.68585957782899,457.9016,33.951694,139.68443298339844,288.36982345581055,288.36982345581055,0,background_no_recorded_event,500,42,Copernicus DEM GLO-30,30,CHIRPS Daily,5566,EPSG:4326
BG_265,,2024-05-28,23.774437173753856,92.7828776285139,410.1212,40.242413,171.24420166015625,277.29468536376953,296.3358745574951,0,background_no_recorded_event,500,42,Copernicus DEM GLO-30,30,CHIRPS Daily,5566,EPSG:4326
BG_266,,2024-05-28,23.4515826606413,92.67831372944238,898.8341,18.378508,103.66326141357422,232.81374740600586,262.8345699310303,0,background_no_recorded_event,500,42,Copernicus DEM GLO-30,30,CHIRPS Daily,5566,EPSG:4326
